model,query_image,k,precision,recall,ndcg,rank_of_true_label,min_distance,max_distance,mean_distance,search_time_mean,search_time_std,birads_category
ResNet50,900,5,0.8,0.012012012012012012,0.9558295932317544,1,0.0,119.64769,91.620224,0.0010667200083844363,0.00034073524013377186,2
ResNet50,900,10,0.6,0.018018018018018018,0.9292488239937617,1,0.0,123.585236,107.38783,0.0014339799876324833,0.0007730695130647582,2
ResNet50,900,20,0.5,0.03003003003003003,0.8942063003747956,1,0.0,137.33086,119.097084,0.001122589991427958,0.0001955952376078835,2
ResNet50,900,50,0.46,0.06906906906906907,0.8425659958952096,1,0.0,162.77109,140.4372,0.00182478001806885,0.0006620625154873151,2
ResNet50,900,100,0.38,0.11411411411411411,0.8309164527761792,1,0.0,185.66388,156.86432,0.0016397100291214884,0.0008233408380454437,2
ResNet50,1000,1,1.0,0.003003003003003003,1.0,1,0.0,0.0,0.0,0.001238490012474358,0.00035671931963154814,2
ResNet50,1000,5,0.4,0.006006006006006006,0.9197207891481876,1,0.0,119.69461,87.24397,0.0013727999874390661,0.0006284341621988352,2
ResNet50,1000,10,0.2,0.006006006006006006,0.9197207891481876,1,0.0,139.51437,108.888145,0.001304140011779964,0.0006780756300130218,2
ResNet50,1000,20,0.2,0.012012012012012012,0.7710870210444034,1,0.0,153.14436,129.03323,0.0011242400156334042,0.00029296137757136664,2
ResNet50,1000,50,0.16,0.024024024024024024,0.6950458308363621,1,0.0,170.92319,148.16096,0.001746700017247349,0.0014069373249440081,2
ResNet50,1000,100,0.15,0.04504504504504504,0.6654607450093284,1,0.0,190.96674,165.21559,0.0009907599887810647,0.00024455990434127666,2
ResNet50,1500,1,1.0,0.003134796238244514,1.0,1,0.0,0.0,0.0,0.00140990000218153,0.0005216288158309872,4
ResNet50,1500,5,0.4,0.006269592476489028,1.0,1,0.0,143.98302,107.17898,0.0010652100201696158,0.0002833032757204997,4
ResNet50,1500,10,0.4,0.012539184952978056,0.8899603164338973,1,0.0,150.29486,127.80171,0.0013188600074499845,0.0005012258096527961,4
ResNet50,1500,20,0.35,0.0219435736677116,0.8223918410372468,1,0.0,160.84377,141.39822,0.0012651499942876398,0.00031129600503814055,4
ResNet50,1500,50,0.3,0.047021943573667714,0.775616035136249,1,0.0,178.15524,158.5661,0.0018587099853903054,0.001045164956872638,4
ResNet50,1500,100,0.3,0.09404388714733543,0.7583777529332884,1,0.0,193.31122,172.3145,0.0013097100076265634,0.0007154116847297654,4
